Complexity,Loss,Equation
1,1727.2043,"44.589077"
3,1020.223,"(x0 * 83.24405)"
5,538.6594,"((x0 + x3) * 116.12623)"
7,390.67084,"((x0 + (-0.43222716 * x1)) * 117.17605)"
8,354.72897,"((x0 + (x1 * -0.44456187)) / 0.00727608)"
9,341.7205,"((x0 + (x3 + (x2 * x1))) * 117.17605)"
10,223.71935,"((-6.7908645 / (x2 + (x3 + 0.8058612))) + 89.1754)"
12,220.3885,"((-6.7908645 / (x2 + (x3 + 0.8058612))) + (x4 + 89.1754))"
14,214.70337,"((((x0 + -7.180983) - x1) / (x2 + (x3 + 0.8093764))) + 88.44913)"
15,180.10765,"((((x3 / (x2 + (x3 + 0.80338496))) + 4.086171) + x0) / 0.058198582)"
17,176.89882,"(((((x3 / (x2 + (x3 + 0.8026802))) + 4.210269) + x0) / 0.059478763) - x1)"
19,168.14667,"((((-0.69753116 / (x2 + (x3 + 0.8050234))) + ((x0 * 1.7903061) - x1)) + 8.9639635) / 0.10788056)"
21,135.89462,"(((((-0.16821228 / (x2 + (x3 + 0.7736244))) + x0) + (x0 + (3.5753279 - x1))) + -0.50608975) / 0.048675895)"
24,135.81583,"((((-0.26149562 / (x2 + (x3 + 0.7680582))) + (((x0 - x1) + (x0 + 1.3895108)) / 0.5338213)) + 2.6377592) / 0.085631065)"
26,135.78731,"(((((-0.26149562 / (x2 + (x3 + 0.7680582))) + 0.5338213) + (((x0 - x1) + (x0 + 1.0946223)) / 0.5338213)) + 2.6377592) / 0.085631065)"
28,135.7872,"(((((-0.26149562 / (x2 + (x3 + 0.7680582))) + 1.661567) + ((((x0 - x1) + -0.6680226) + (x0 + 1.1596215)) / 0.5338213)) + 2.6377592) / 0.085631065)"
32,133.69945,"(((-0.20735262 / (x2 + (x3 + 0.7762233))) + ((x0 + (((0.9119993 - x1) + pow_abs(x1, 0.31982163)) + x0)) + 1.7666715)) / 0.053689472)"
34,129.54166,"((((-0.20530432 / (x2 + (x3 + 0.771421))) + x0) + ((x0 + ((1.000925 - x1) + pow_abs(x1 + -0.26187274, 0.3655003))) + 1.8064952)) / 0.05415875)"
