Complexity,Loss,Equation
1,1727.2043,"44.588997"
3,1020.223,"(x0 * 83.244)"
5,538.6595,"((x0 + x3) * 116.129166)"
7,354.75104,"((x0 + (-0.44398153 * x1)) * 137.11127)"
9,335.6678,"((x0 + ((x2 * x1) + x3)) * 137.11127)"
11,257.12515,"(((x3 + (x0 + (x2 * x1))) + 0.52117485) * 59.260677)"
13,222.88515,"((4.1729436 - (-0.36190388 / ((-0.8166342 - x2) - x3))) / 0.04575163)"
15,180.1294,"(((x0 - -4.0711985) - (x3 / ((-0.80430096 - x2) - x3))) / 0.05806824)"
17,177.07812,"((((x0 - (x3 / ((-0.80034244 - x2) - x3))) - -4.3278775) / 0.0607709) - x1)"
19,135.7091,"((((x0 - -2.8669484) - (x1 - x0)) - (-0.15671529 / ((-0.7724301 - x2) - x3))) / 0.046416536)"
21,135.699,"(((((x0 - -2.867005) - (x1 - x0)) - (-0.1566334 / ((-0.7722808 - x2) - x3))) - -0.009208266) / 0.04643907)"
23,134.78111,"((((x0 - -2.9240232) - (-0.14230065 / ((-0.7677943 - x2) - x3))) - (((x2 * -0.06966436) + x1) - x0)) / 0.047584325)"
25,129.43542,"((((x0 - -2.9206173) - (-0.16940892 / ((-0.7722737 - x2) - x3))) - (((x0 * -0.49093893) * (x0 - -1.1755459)) + x1)) / 0.0471663)"
27,129.08507,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - ((((x1 * -0.46103528) * (x0 + -0.5701378)) + x1) - x0)) / 0.048326284)"
29,123.23514,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - (((((x4 + x1) * -0.41955853) * (x0 + -0.63229376)) + x1) - x0)) / 0.048326284)"
31,121.46932,"((((x0 - -2.9206173) - (-0.1853915 / ((-0.7722737 - x2) - x3))) - ((((-0.4333242 * (0.6208309 + (x4 + x1))) * (x0 + -0.72563446)) + x1) - x0)) / 0.0471663)"
33,120.83319,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - (((((((-0.651736 - x4) * -0.66306543) + x1) * -0.52761775) * (x0 + -0.66306543)) + x1) - x0)) / 0.048326284)"
34,120.20867,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - (((((((-0.651736 - x4) / -1.1702312) + x1) * -0.6016894) * (x0 + -0.75639796)) + x1) - x0)) / 0.048326284)"
39,119.64386,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - (((((((((-0.41955853 * (1.1849364 + x1)) * x1) - x4) * -0.84487706) + x1) * -0.41955853) * (x0 + -0.76550025)) + x1) - x0)) / 0.048326284)"
43,119.213036,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - ((((((((((((1.1849364 + x1) * x0) * x1) * -0.41955853) * x1) - x4) * -0.84487706) + x1) * -0.41955853) * (x0 + -0.66306543)) + x1) - x0)) / 0.048326284)"
47,117.291435,"((((x0 - -2.9287426) - (-0.16611409 / ((-0.76550025 - x2) - x3))) - ((((((((((((x1 * x0) * x1) * -0.9483874) * ((x1 + 1.1849364) * x0)) * x1) - x4) * -0.84487706) + x1) * -0.41955853) * (x0 + -0.76550025)) + x1) - x0)) / 0.048326284)"
