Complexity,Loss,Equation
1,1727.2043,"44.58886"
4,1020.223,"(x0 * 83.24481)"
7,538.6594,"((x0 + x3) * 116.12623)"
10,354.71954,"((x0 + (x1 * -0.44444656)) * 137.77156)"
13,326.56348,"((x0 + (x1 * (x2 + -0.18404469))) * 108.285995)"
15,284.23065,"(((x3 / (x2 + 0.51910096)) + 2.7958903) * 32.748238)"
16,257.12518,"((((x0 + x3) + (x1 * x2)) - -0.5214289) * 59.255688)"
18,222.8375,"(((-0.5468323 / (x3 + (x2 + 0.8146307))) + 6.455023) * 14.110576)"
21,180.09293,"(((x0 - -4.0341187) + (x3 / (x3 + (x2 + 0.8043587)))) * 17.395348)"
24,176.78253,"((((x0 - -3.9937944) + (x3 / (x3 + (x2 + 0.806257)))) * 17.600027) - x1)"
25,162.1719,"(((x3 / (x3 + (x2 + 0.80818474))) + (cube(x0) - -4.060725)) * 17.289501)"
27,141.16162,"((((x0 - -3.9937944) + x0) + ((-0.34966668 / (x3 + (x2 + 0.81094843))) - x1)) * 17.557972)"
30,138.40417,"((((x0 - -4.0047784) + ((-0.23713145 / (x3 + (x2 + 0.7826227))) - 0.17049395)) + (x0 - x1)) * 17.557972)"
32,137.5271,"(((x1 * -0.6498452) + (((x2 / ((x3 / (x2 + 0.50869584)) + 3.1110718)) + 1.2162548) + x0)) * 44.81617)"
35,137.05019,"(((x1 * -0.6652568) + (((x2 / ((x3 / (x2 + 0.5734332)) + (x2 + 2.4281917))) + 1.6141135) + x0)) * 38.018528)"
38,133.47083,"((x2 * 6.5617237) + (((x1 * -0.5457993) + (((-0.41188252 / ((x3 / (x2 + 0.5872252)) + 1.9226066)) + 1.685334) + x0)) * 39.181786))"
40,126.647064,"((((x1 / (x2 + 1.0471096)) * -0.4052707) + (((-0.4579647 / ((x3 / (x2 + 0.59578013)) + 1.8745198)) + 1.6651554) + x0)) * 38.14848)"
43,125.27128,"((4.463109 / (1.243689 - x0)) + (((x1 * -0.65079224) + (((-0.49732286 / ((x3 / (x2 + 0.5751006)) + 2.0589032)) + 1.5255991) + x0)) * 37.72065))"
46,117.90958,"(((5.247952 / (1.2478096 - x0)) * x1) + (((x1 * -0.7723283) + (((-0.38664556 / ((x3 / (x2 + 0.620964)) + 1.6331257)) + 1.6297436) + x0)) * 38.078575))"
49,116.91595,"(x7 + (((5.1458464 / (1.2311498 - x0)) * x1) + (((x1 * -0.7818778) + (((-0.41051432 / ((x3 / (x2 + 0.6137192)) + 1.6936675)) + 1.621653) + x0)) * 38.07794)))"
51,115.48737,"((((x1 / 0.1600963) / (1.2462866 - x0)) - x4) + (((x1 * -0.8310771) + (((-0.44366285 / ((x3 / (x2 + 0.60490793)) + 1.7655084)) + 1.6154006) + x0)) * 38.161907))"
52,113.7345,"(((((2.285361 / (1.2333837 - x0)) * x1) - x4) * 2.492538) + (((x1 * -0.8158354) + (((-0.41559297 / ((x3 / (x2 + 0.6067832)) + 1.7396783)) + 1.606661) + x0)) * 38.14848))"
