Complexity,Loss,Equation
1,1727.2043,"44.588837"
5,1020.223,"(x0 * 83.24398)"
9,538.6594,"((x3 + x0) * 116.12623)"
13,354.71954,"((x0 + (x1 * -0.44444388)) * 137.77089)"
17,335.6678,"(((x0 + (x1 * x2)) + x3) * 137.11075)"
20,223.07327,"((-7.0690455 / ((x3 + 0.80815196) + x2)) + 90.40314)"
24,219.6129,"(x4 + ((-7.069026 / ((x2 + 0.80750746) + x3)) + 90.40314))"
28,180.0931,"((((x3 / ((x2 + 0.8044194) + x3)) + 4.026987) + x0) * 17.421871)"
32,174.88284,"((((x3 / ((x3 + 0.8083485) + x2)) + x0) * (x1 - -17.07756)) + 69.813866)"
34,160.6456,"((((x3 / ((x2 + 0.81974566) + x3)) + cube(x0)) * 19.44023) + 70.2442)"
36,157.03485,"((((x3 / ((x3 + 0.7919942) + x2)) + ((x0 - x1) + x0)) * 13.437277) + 65.80242)"
40,139.78745,"((((((-0.3096068 / ((x2 + 0.80223393) + x3)) + 1.9669036) + x0) + 1.9420055) + (x0 - x1)) * 17.649527)"
43,136.43797,"(((x1 * -29.124754) - -54.159626) + (((x2 / ((x3 + 0.7603071) + x2)) + (x0 / 0.1310519)) * 6.642975))"
47,135.58757,"(((x1 * -22.012928) - -45.19806) + ((((-0.3624131 / ((x3 + 0.76786005) + x2)) + 1.9323523) + (x0 / 0.19826344)) * 8.513582))"
51,128.32343,"(((x1 * ((x1 + -2.7999835) * 7.840135)) - -45.92473) + (((x3 / ((x3 + 0.76102746) + x2)) + (x0 / 0.16286187)) * 8.449615))"
55,126.95625,"((((x1 * ((x1 + -2.7257617) * 8.179952)) - -45.92473) + (((x3 / ((x3 + 0.7601997) + x2)) + (x0 / 0.16424422)) * 8.449584)) + x2)"
59,122.78873,"((((x1 * ((x1 + -2.888882) * 8.038925)) - -45.189754) + (((x3 / ((x3 + 0.75516576) + x2)) + (x0 / 0.14851828)) * 7.880502)) + (x4 * x4))"
63,119.62087,"((((x1 * ((x1 + -2.7999835) * 8.179946)) - -45.92473) + (((x3 / ((x3 + 0.7596797) + x2)) + (x0 / 0.16286187)) * 8.449615)) + ((x4 - x7) * x4))"
67,118.07762,"((((x1 * ((x1 + -2.7999835) * 8.179946)) - -45.92473) + (((x3 / ((x3 + 0.7596797) + x2)) + (x0 / 0.16286187)) * 8.449615)) + (((x4 * 1.3497803) - x7) * x4))"
71,117.52252,"((((x1 * ((x1 + -2.7999835) * 8.179946)) - -45.92473) + (((x3 / ((x3 + 0.7584316) + x2)) + (x0 / 0.16286187)) * 8.449615)) - ((((x4 - x7) - x6) * -1.4694856) * x4))"
75,117.13577,"((((x1 * ((x1 + -2.7297575) * 8.179946)) - -45.92473) + ((((x3 / ((x3 + 0.7596797) + x2)) + x0) + (x0 / 0.19833583)) * 8.449615)) + (((x4 * 1.4477208) + (x0 - x7)) * x4))"
79,116.175125,"((((x1 * ((x1 + -2.8079996) * 8.179946)) - -45.92473) + ((((x3 / ((x3 + 0.7596797) + x2)) + x0) + (x0 / 0.20230624)) * 8.449615)) + (((x4 * 1.4363502) + (x0 - x7)) * (x4 + x0)))"
83,115.47378,"((((x1 * ((x1 + -2.7057838) * 8.179946)) - -45.92473) + ((((x3 / ((x3 + 0.75990486) + x2)) + x0) + (x0 / 0.20235205)) * 8.630064)) + ((x4 + (x0 - x7)) * (((x0 + x0) + x4) - 1.9833009)))"
86,113.28454,"((((x1 * ((x1 + -2.7057838) * 8.179946)) - -45.079422) + ((((x3 / ((x3 + 0.7596797) + x2)) + x0) + (x0 / 0.20338206)) * 8.630064)) + ((x4 + (x0 - x7)) * (((x0 / 0.23460679) + x4) - 2.8417194)))"
99,112.898735,"((((x1 * ((x1 + -2.725731) * 8.179946)) - -45.92473) + ((((x3 / ((x3 + 0.7596797) + x2)) + x0) + (x0 / 0.19833583)) * 8.449615)) + ((((((x4 + x0) + x0) + x0) + x5) + x0) * ((x3 + ((x4 + x0) + x0)) - 1.8534338)))"
103,112.88319,"((((x1 * ((x1 + -2.725731) * 8.179946)) - -45.92473) + ((((x3 / ((x3 + 0.7596797) + x2)) + x0) + (x0 / 0.19833583)) * 8.449615)) + ((((((x4 + x0) + x0) + x0) + x5) + x0) * ((x3 + (((x4 + x0) - -0.023971625) + x0)) - 1.8534338)))"
