Complexity,Loss,Equation
1,122.6672,"-0.62033206"
4,122.26605,"neg(x0)"
5,122.23432,"(-0.122832574 - x0)"
9,122.01789,"((-25.691196 - x2) * 10.815087)"
12,121.69578,"(0.011944779 / (x1 + 0.4236126))"
15,121.61627,"(cube(x0 * 0.15893692) - x0)"
16,121.27671,"((0.011944779 / (x1 + 0.4236126)) - x0)"
20,121.23005,"((-1.1171619 - (-0.027933449 / (x1 + 0.42363897))) * x0)"
24,121.11883,"(((-0.081871726 / (x1 + 0.42368007)) - -0.23669343) * (x1 * x0))"
28,120.7993,"((-0.99153924 - (((-0.08961414 / (x1 + 0.42365125)) - x1) * 0.32533026)) * x0)"
32,120.58094,"((-1.2613614 - (((-0.4760336 / (x1 + 0.42369854)) - (x1 * x1)) * 0.07581628)) * x0)"
36,120.52954,"((-1.1711376 - (((-0.36037552 / (x1 + 0.42365125)) - (x1 * x1)) * 0.06585383)) * (x0 - -0.13490057))"
39,120.201675,"((x1 * (((x1 / (x1 + 0.42365125)) - (1.1069314 / (x1 - -0.47587967))) * x0)) * 0.17812657)"
43,120.101074,"((-1.4224068 - (((-0.29989308 / (x1 + 0.42365125)) - ((0.91955286 / (x1 - -0.47587967)) - x2)) * 0.09514043)) * x0)"
47,119.79122,"((-1.0271565 - (((-0.47565347 / (x1 + 0.4237099)) - ((x1 - (1.735269 / (x1 - -0.47565347))) * x1)) * 0.0773335)) * x0)"
51,119.7487,"((-1.0803775 - (((-0.27499378 / (x1 + 0.42365217)) - ((x1 - ((1.8360077 / (x1 - -0.4758695)) + 1.7191072)) * x1)) * 0.10050863)) * x0)"
55,119.74538,"((-1.0383892 - (((-0.2899095 / (x1 + 0.42365125)) - (((0.61221004 - (1.3062618 / (x1 - -0.47587967))) - (x1 * x1)) * -0.6937666)) * 0.10050791)) * x0)"
59,119.702614,"(((-1.0383892 - (((-0.2899095 / (x1 + 0.42365125)) - (((0.61221004 - (1.3062618 / (x1 - -0.47587967))) - (x1 * x1)) * -0.6937666)) * 0.10050791)) * x0) + -0.1388272)"
62,119.3454,"((-1.2477885 - (((-0.3337818 / (x1 + 0.42366317)) - (((-0.8476821 / (x1 + 0.47544402)) - ((-0.7510153 / (x2 + -0.45498994)) - x1)) * x1)) * 0.09299264)) * x0)"
66,119.18137,"((-0.92679226 - (((-0.30586773 / (x1 + 0.42365125)) - (((-0.55294317 / (x1 + 0.47544402)) - ((-1.317034 / (x2 + -0.45361435)) + (x1 * x1))) * -0.6847787)) * 0.0968612)) * x0)"
77,119.0392,"((-1.0090243 - (((-0.2865415 / (x1 + 0.42365125)) - ((0.74015415 - ((1.3505754 / (x1 - -0.47587967)) - (((6.567185 / ((x0 / -0.14288498) + x1)) - x1) * x1))) * -0.6587734)) * 0.10050855)) * x0)"
78,119.00437,"((-1.1647362 - (((-0.30175152 / (x1 + 0.42366317)) - (((x2 - (1.4188946 / (-0.6565009 - (((0.42368212 - x0) * (x0 + -0.104826435)) - x1)))) - (1.0895352 / (x1 - -0.47587967))) * -0.746479)) * 0.10050791)) * x0)"
82,118.68259,"((-1.0383892 - (((-0.2899095 / (x1 + 0.42365125)) - ((((-1.5286039 / (-0.6565009 - (((0.42368212 - x0) * (x0 + -0.104826435)) - x1))) - (1.2754339 / (x1 - -0.47587967))) - (x1 * x1)) * -0.6706474)) * 0.10050791)) * x0)"
86,118.68192,"((-1.0383892 - (((-0.2899095 / (x1 + 0.42365125)) - ((((0.14382537 - (1.5300425 / (-0.6565009 - (((0.42368212 - x0) * (x0 + -0.104826435)) - x1)))) - (1.2754339 / (x1 - -0.47587967))) - (x1 * x1)) * -0.67481863)) * 0.10050791)) * x0)"
93,118.4399,"((-0.9775356 - (((-0.28954938 / (x1 + 0.42365125)) - ((((x2 - (1.8144668 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - (-1.3262482 / (x2 + -0.45370317))) + (1.16689 / (-0.4758156 - x1))) * -0.6450451)) * 0.10050855)) * x0)"
97,118.43591,"((-0.9775356 - (((-0.28954938 / (x1 + 0.42365125)) - (((((x2 * 1.074049) - (1.8144668 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - (-1.3262482 / (x2 + -0.45370317))) + (1.16689 / (-0.4758156 - x1))) * -0.6468919)) * 0.10050855)) * x0)"
105,118.431015,"((-0.81705993 - (((-0.2949197 / (x1 + 0.42365125)) - (((((-0.2682676 - x0) - (1.7712002 / (-0.65654695 - (((0.4240601 - x0) * (x0 + -0.105007626)) - x1)))) - (-1.3126003 / (x2 + -0.45370317))) - (x1 - (0.20797673 / ((0.42365125 - x0) + x2)))) * -0.6391416)) * 0.10050855)) * x0)"
108,118.07445,"((-1.146152 - (((-0.29981074 / (x1 + 0.42365125)) - (((-1.7795557 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1))) - ((-0.21560024 / (x2 + (0.42365125 - x0))) - (((7.231746 / ((x0 / -0.14288498) + x1)) - x1) * x1))) * -0.65654695)) * 0.10050855)) * x0)"
112,118.07061,"((-1.0131799 - (((-0.29981074 / (x1 + 0.42365125)) - (((1.7541082 - (1.7541082 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - ((-0.20514765 / (x2 + (0.42365125 - x0))) - (((7.231746 / ((x0 / -0.14288498) + x1)) - x1) * x1))) * -0.65654695)) * 0.10050855)) * x0)"
116,118.05668,"((-1.1691785 - (((-0.29763356 / (x1 + 0.42365125)) - (((-0.016441561 - (1.8144668 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - ((-0.2123211 / (x2 + (0.42365125 - x0))) - (((7.231746 / ((x0 / -0.14288498) + x1)) - (x1 + 1.0225779)) * x1))) * -0.6216323)) * 0.10050855)) * x0)"
120,117.997475,"(((-1.1691785 - (((-0.29763356 / (x1 + 0.42365125)) - (((-0.016441561 - (1.8144668 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - ((-0.2123211 / (x2 + (0.42365125 - x0))) - (((7.231746 / ((x0 / -0.14288498) + x1)) - (x1 + 1.0225779)) * x1))) * -0.6216323)) * 0.10050855)) * x0) + -0.16096368)"
127,117.73424,"((-0.957232 - (((-0.29325926 / (x1 + 0.42365125)) - (((1.6719711 / (x2 + -0.44764695)) - (((x2 - (1.5732312 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - ((-0.2735948 / (x2 + (0.42365125 - x0))) * ((7.231746 / ((x0 / -0.14288498) + x1)) * x1))) * -0.957232)) * -0.6858571)) * 0.10050855)) * x0)"
131,117.512085,"((-0.7923179 - (((-0.30847543 / (x1 + 0.42365125)) - (((1.1342427 / (x2 + -0.451796)) - (((0.4303592 - (2.1149065 / (-0.65654695 - (((0.42365125 - x0) * (x0 + -0.105007626)) - x1)))) - ((-0.26223686 / (x2 + (0.42365125 - x0))) - (((7.231746 / ((x0 / -0.14288498) + x1)) - x1) * x1))) * -0.65654695)) * -0.86264557)) * 0.10050855)) * x0)"
