Complexity,Loss,Equation
1,122.6672,"-1.4206275"
4,122.26605,"neg(x0)"
5,122.23432,"(-0.12290756 - x0)"
9,122.1485,"((x2 - x0) - 0.2313709)"
11,122.02719,"cube(x1 + -2.934321)"
12,121.95074,"(x0 / (-0.9131441 + x2))"
13,121.813835,"(((2.8091168 - x1) * x0) * -0.3498812)"
15,121.61629,"(cube(x0 * 0.15893407) - x0)"
19,121.5851,"((cube(x0 * 0.15923366) - x0) + -0.12066552)"
20,121.32395,"((neg(x2) * ((x0 + x2) + x1)) - x0)"
21,121.31869,"(((0.028665902 - x2) * ((x2 + x0) + x1)) - x0)"
24,121.27235,"(((neg(x2) * (x1 + (x0 + x2))) - x0) - 0.18150379)"
25,121.2662,"((((-0.15256196 - x2) * ((x0 + x1) + x2)) - x0) - 0.45718008)"
26,121.20336,"((x0 * (x1 * sin(x2 * 2.0147305))) - x0)"
30,121.16132,"((x0 * ((x1 - 0.49222022) * sin(x2 * 2.9607394))) - x0)"
33,121.15055,"((x0 * ((0.29201323 * x1) + cos(x1 / 0.10692173))) - x0)"
34,121.06545,"((((-1.4246291 + x0) * (x1 * sin(x2 * 2.0140471))) - x0) - 0.41001183)"
37,121.02107,"(((x0 - x2) * ((cos(x1 / 0.10722779) + -0.71259916) * 2.4465513)) - 0.92439395)"
41,121.01596,"(((x0 - x2) * ((cos(x1 / 0.10735316) + -0.8544642) * (x1 + 2.4684584))) - 0.5540064)"
43,120.997925,"(((x0 - sqrt_abs(x2)) * ((x1 * 0.39847824) + cos(x1 / 0.10719881))) - x0)"
45,120.79475,"((((x2 + x0) - 3.0665884) * ((cos(x1 / 0.10735316) + -0.8544642) * (x2 * 2.4260094))) - 1.5375246)"
49,120.33561,"(((((x2 + x0) - 3.0665884) * ((cos(x1 / 0.10735316) + -0.8544642) * (x2 * 2.4684584))) - x0) - 1.5375246)"
53,120.1936,"((x0 + log_abs(0.039060887 / (x2 + -0.106291555))) * ((0.34987193 * x1) + cos(x1 / -0.10811583)))"
57,119.66152,"(((x0 + log_abs(0.043051045 / (x2 + -0.10629156))) * ((x1 * 0.42352924) + cos(x1 / -0.10756133))) - x0)"
61,119.5886,"((((x0 + log_abs(-0.043305892 / (x2 + -0.10629156))) * ((x1 * 0.44320402) + cos(x1 / 0.10692173))) - 0.32592452) - x0)"
65,119.56155,"((((x0 + log_abs(0.040326428 / (x2 + -0.10629156))) * (((x1 - -0.23042978) * 0.47149646) + cos(x1 / 0.10692173))) - x0) + -0.28876877)"
69,119.55837,"(((((x0 + (x1 * 0.41568437)) + log_abs(0.051142823 / (x2 + -0.10629156))) * ((x1 * 0.41568437) + cos(x1 / 0.10692173))) - 0.44332623) - x0)"
70,119.54727,"((((x0 + sin(x0)) + log_abs(0.048907183 / (x2 + -0.10629156))) * ((x1 * 0.42352924) + cos(x1 / 0.10719881))) - x0)"
74,119.36721,"((((x0 + log_abs(-1.0009205 - x0)) + log_abs(0.051142823 / (x2 + -0.10629156))) * ((x1 * 0.41568437) + cos(x1 / 0.10692173))) - x0)"
78,119.26128,"(((((x0 + log_abs(-1.0009205 - x0)) + log_abs(-0.049236998 / (x2 + -0.10629156))) * ((x1 * 0.41568437) + cos(x1 / 0.10692173))) - 0.44332623) - x0)"
102,119.22928,"(((((x0 + log_abs((x0 * (cos(x1 / 0.10692173) + -0.501668)) + -1.2273225)) + log_abs(-0.043305892 / (x2 + -0.10629156))) * ((x1 * 0.44320402) + cos(x1 / 0.10692173))) - 0.6219934) - x0)"
110,119.19156,"(((((x1 - abs((x0 / x2) + -1.2367251)) + x0) + (log_abs(0.30049184 / (x2 + -0.106291555)) / 0.33753565)) * (((x1 + 0.37671518) + cos(x1 / -0.10767198)) * sin(x2 * 2.011713))) - (x0 + 1.4415272))"
119,119.18257,"(((((x1 - abs((x0 / x2) + -1.2246234)) + x0) + (log_abs(0.3074741 / (x2 + -0.106291555)) / 0.34807765)) * (((x1 + 0.39629063) + cos(x1 / -0.10767198)) * sinh(sin(x2 * 2.011713)))) - (x0 + 1.4415272))"
132,119.17918,"((((((-0.33214378 - sqrt_abs((x0 / x2) * ((x1 / (x2 + -1.0316523)) / x2))) + x0) + x1) + (log_abs(-0.3157304 / (x2 + -0.106291555)) / 0.33753565)) * (((x1 + 0.41263443) + cos(x1 / -0.10767198)) * sin(x2 * 2.011713))) - (x0 + 1.4415272))"
136,119.17865,"((((((-0.7830144 - sqrt_abs((x0 / x2) * ((x1 / (x2 + -1.0316523)) / x2))) + x0) + (x1 + 0.41263443)) + (log_abs(-0.3157304 / (x2 + -0.106291555)) / 0.33753565)) * (((x1 + 0.41263443) + cos(x1 / -0.10767198)) * sin(x2 * 2.011713))) - (x0 + 1.4415272))"
138,119.112175,"(((((x1 - (log_abs(x2 / ((-0.6203905 / (x2 + -0.106291555)) + 1.3060977)) + abs((x0 / x2) + x1))) + x0) + log_abs(-0.20960912 / (x2 + -0.106291555))) * (((x1 + 0.41943395) + cos(x1 / -0.10844693)) * sin(x2 * 2.011713))) - (x0 + 1.3636794))"
146,119.10105,"(((((x1 - (log_abs((x2 + -0.106291555) / ((x0 / (x2 + -0.106291555)) + 1.3060977)) + abs((x0 / x2) + x1))) + x0) + (log_abs(-0.19985424 / (x2 + -0.106291555)) + -1.225251)) * (((x1 + 0.41943395) + cos(x1 / 0.1069217)) * sin(x2 * 2.011713))) - (x0 + 1.2526774))"
149,118.99359,"(((((-1.3358535 - (log_abs(x1 / ((x0 / (x2 + -0.106291555)) + 1.3060977)) + abs(x0 / x2))) + x0) + (log_abs((-0.106291555 / (x2 + -0.106291555)) / (x2 + -0.106291555)) + x1)) * (((x1 + 0.37464342) + cos(x1 / 0.1069217)) * sin(x2 * 2.011713))) - (x0 + 1.3060977))"
153,118.969,"(((((-1.1497979 - (log_abs(x1 / ((x0 / (x2 + -0.106291555)) + 1.3060977)) + abs((x0 / x2) + -0.85427415))) + x0) + (log_abs((-0.13422754 / (x2 + -0.106291555)) / (x2 + -0.106291555)) + x1)) * (((x1 + 0.37549767) + cos(x1 / 0.1069217)) * sin(x2 * 2.011713))) - (x0 + 1.2708616))"
