Complexity,Loss,Equation
1,13.368095,"1.0243783"
7,13.364723,"((x1 * -0.057599083) + 1.0254596)"
9,6.356965,"(0.010735653 / (x2 + 0.5673341))"
12,5.437001,"((4.6074954e-5 / (x2 + 0.5672272)) - -0.97463655)"
15,5.4370008,"(((0.44733027 / (x2 + 0.5672272)) * 9.493686e-5) + 0.9743348)"
18,5.436962,"((((0.006506055 / (x2 + 0.5672272)) - x0) * 0.006506055) + 0.9744862)"
21,5.43692,"(((((0.0055424226 / (x2 + 0.5672272)) - x2) - x0) * 0.009822641) + 0.9752695)"
23,5.2116647,"((((-0.9150359 / (x1 - 0.9515531)) / (x2 + 0.5672275)) * 0.0017830157) + 0.9546025)"
26,5.2110553,"((((-0.39899355 - (0.9141946 / (x1 - 0.9515531))) / (x2 + 0.5672275)) * 0.0017830157) + 0.95410424)"
29,5.2089663,"((((x0 - ((0.98612773 - x0) / (x1 - 0.9515531))) / (x2 + 0.5672275)) * 0.0017830157) + 0.95459044)"
32,5.2068515,"((((x0 - (((1.0432739 - x0) - x0) / (x1 - 0.9515531))) / (x2 + 0.5672275)) * 0.0017830157) + 0.9534611)"
35,5.120474,"(((((0.4554564 / (x1 - (((x2 * -0.22864726) - x1) - -1.9182512))) - -0.1201676) / (x2 + 0.5672275)) * 0.0053795204) - -0.9643342)"
41,5.1204085,"(((((0.4554564 / (x1 - (((x2 * -0.22864726) - x1) - (x1 - (x1 - -1.9182512))))) - -0.1201676) / (x2 + 0.5672275)) * 0.0053795204) - -0.9643342)"
51,5.0988913,"(0.9134028 - (((-0.2723131 / ((x1 + x2) - ((((x2 * -0.7962772) / (((x2 / -1.1109644) - x1) + -0.0168679)) - -1.9182512) - x1))) / (x2 + 0.5672275)) * -0.0053733885))"
53,5.096482,"neg((((-0.2723131 / ((x1 + x2) - ((((x2 * -0.7962772) / (((x2 / -1.1109644) - x1) + -0.0168679)) - -1.9182512) - x1))) / (x2 + 0.5672275)) * -0.0053733885) + -0.96270406)"
65,5.09163,"(((((0.3272538 / (x1 - ((x0 * -1.0428493) / 0.7332911))) / ((x1 + x2) - ((((x2 * -0.7962772) / (((x2 * -0.93740153) - x1) + -0.0168679)) - -1.9182512) - x1))) / (x2 + 0.5672275)) * 0.0053795204) - -0.9654645)"
68,5.091467,"((((((0.32334727 / (x1 - ((x0 * -1.0428493) / 0.7332911))) / ((x1 + x2) - ((((x2 * -0.7962772) / (((x2 * -0.93740153) - x1) + -0.0168679)) - -1.9182512) - x1))) - -0.08628076) / (x2 + 0.5672426)) * 0.0053795204) - -0.95905685)"
91,5.085988,"pow_abs(0.9686081, ((0.40465197 / (x2 + 0.5672275)) * -0.0021428983) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.6393411) * 0.21744053)))"
94,5.0854416,"pow_abs(0.9686053, (0.76202947 + ((0.049198754 / (x2 + 0.5672426)) * -0.052998744)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
97,5.08543,"pow_abs(0.9686053, (0.72398996 + (((0.10032297 / (x2 + 0.5672275)) * 0.0073280646) * x1)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
99,5.085409,"pow_abs(0.9686053, (0.7274503 + (((0.24360397 / (x2 + 0.5672275)) * 0.0073280646) / x1)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
100,5.0852394,"pow_abs(0.9686053, (exp(x2) + ((0.004084351 / (x2 + 0.5672426)) * x2)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
103,5.085229,"pow_abs(0.9686053, (exp(x2) + (((0.10032297 / (x2 + 0.5672275)) * 0.0073280646) * -1.4731274)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
105,5.083361,"pow_abs(0.9686081, (((x1 + 0.10806216) / (x1 + 0.122121215)) + ((0.355216 / (x2 + 0.5672275)) * -0.0021428983)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.6393411) * 0.21744053)))"
111,5.0831428,"pow_abs(0.9686081, (0.41417015 + (((x1 * 0.10806216) / (x1 + 0.122121215)) + (((1.1043196 / (x2 + 0.5672275)) * 0.0017830157) * x2))) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.6393411) * 0.21744053)))"
159,5.0366397,"pow_abs(0.9686053, ((cube(atanh_clip(x0 + -0.8190005)) * (atanh_clip(x1 + 1.7826693) * -0.6481922)) + (sinh(atanh_clip(x2 - 28.432775)) * -0.30287862)) + sinh(atanh_clip((((x1 + x0) * sinh(atanh_clip(x1 + x0))) + 1.639341) * 0.2174406)))"
