Complexity,Loss,Equation
1,78844.08,"44.623676"
5,67276.89,"(x0 * 81.79984)"
9,32274.322,"((x0 + x3) * 109.49437)"
13,17534.285,"((x0 + (x1 * -0.43269405)) * 123.00978)"
16,15641.523,"((x3 / (x2 + 0.40139446)) + 69.785675)"
17,14921.727,"(((x0 + x3) + (x1 * x2)) * 141.36191)"
19,11796.206,"((cube(x2 + x3) + 0.45303518) * 172.47963)"
20,8458.547,"((-6.6261578 / (x3 + (x2 + 0.81100214))) + 85.36174)"
24,7982.322,"((-10.189601 / (x3 + ((x3 + x2) + 1.1877764))) + 86.68354)"
28,6150.751,"((x0 + ((x3 / (x2 + (x3 + 0.80674624))) + 4.406461)) * 15.464273)"
32,5677.143,"((((x3 + 0.2442991) / (x3 + (x2 + 0.7639792))) + (x0 + 2.0853293)) * 25.349833)"
34,5436.096,"(((x3 / ((x2 + x3) + 0.8280902)) + (cube(x0) + 3.6169336)) * 18.82734)"
36,4387.329,"((((-0.13738649 / (x3 + (x2 + 0.7679595))) - x1) + ((x0 * 1.890063) + 2.9382474)) * 20.73168)"
40,3981.6487,"((((-0.10895611 / (x3 + (x2 + 0.7536595))) - x1) + ((x0 * (1.3458188 + x0)) + 2.497516)) * 21.78324)"
43,3793.3528,"((((-0.12022487 / (x3 + (x2 + 0.7609733))) - x1) + (2.9904697 / ((x0 * -0.54395115) + 1.1774745))) * 22.56386)"
47,3731.252,"(((((-0.10614663 / (x3 + (x2 + 0.7576548))) - x1) + (2.5794935 / ((x0 * -0.4982647) + 1.0527625))) * 22.891302) - x4)"
51,3615.504,"((x4 * x4) + ((((-0.11070316 / (x2 + (x3 + 0.7536595))) - x1) + (2.148795 / ((x0 * -0.410631) + 0.8720453))) * 22.67311))"
54,3591.3403,"(((((-0.10119251 / (x3 + (x2 + 0.75142497))) - x1) + (2.1743937 / ((x0 / -2.2871587) + 0.9085464))) * 22.923729) + (x4 * x4))"
55,3524.32,"((((-0.11256307 / (x2 + (x3 + 0.75795645))) - x1) + ((0.029093772 * (x4 * x4)) + (2.1527817 / ((x0 * -0.41231695) + 0.87357354)))) * 22.67311)"
58,3518.5608,"((((x4 * 0.03038174) * x4) + (((-0.10090546 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.306649) + 0.9037319)))) * 22.923729)"
59,3475.9287,"(x3 + ((((-0.11256307 / (x2 + (x3 + 0.75795645))) - x1) + ((0.029093772 * (x4 * x4)) + (2.1527817 / ((x0 * -0.41252488) + 0.87357354)))) * 22.67311))"
62,3460.676,"(((((x4 * 0.03086536) * x4) + (((-0.099488884 / (x2 + (x3 + 0.7537442))) - x1) + (2.1592572 / ((x0 / -2.284167) + 0.90517175)))) * 22.923729) + x3)"
63,3441.5452,"(x3 + ((((-0.113778435 / (x2 + (x3 + 0.75795645))) - x1) + ((0.03169131 * ((x0 + x4) * x4)) + (2.1529996 / ((x0 * -0.41231695) + 0.87357354)))) * 22.67311))"
66,3426.3257,"((((((x0 + x4) * 0.032296363) * x4) + (((-0.100152016 / (x3 + (x2 + 0.7536595))) - x1) + (2.1530504 / ((x0 / -2.2859805) + 0.90517175)))) * 22.923729) + x3)"
67,3414.3215,"(x3 + ((((-0.113778435 / (x2 + (x3 + 0.75795645))) - x1) + ((0.03169131 * ((x0 + (x0 + x4)) * x4)) + (2.1529996 / ((x0 * -0.41231695) + 0.87357354)))) * 22.67311))"
70,3360.6912,"(((((x3 + x4) * 0.03294167) * ((x0 * 4.6409087) + x4)) + (((-0.10431271 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.2802706) + 0.90517175)))) * 22.923729)"
74,3308.71,"(((((x3 + x4) * 0.034248568) * ((x0 * 4.9430227) + (x4 - x2))) + (((-0.10336494 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.2583115) + 0.90517175)))) * 22.67311)"
77,3308.6123,"(((((x3 + x4) * 0.034248568) * ((x0 / 0.19635604) + (x4 - x2))) + (((-0.10362618 / (x3 + (x2 + 0.7536595))) - x1) + (2.1645744 / ((x0 / -2.2583115) + 0.90517175)))) * 22.67311)"
78,3273.0503,"(((((x3 + (x3 + x4)) * 0.032575347) * ((x0 * 4.6833606) + (x4 - x2))) + (((-0.10177921 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.2583115) + 0.90517175)))) * 22.67311)"
82,3247.0464,"(((((x3 + (x3 + (x4 - x2))) * 0.032575347) * ((x0 * 4.6833606) + (x4 - x2))) + (((-0.10177921 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.2474656) + 0.90517175)))) * 22.67311)"
86,3245.3516,"(((((x3 + (x3 + (x4 - x2))) * 0.032855548) * ((x0 * 4.0273743) + (0.40774637 + (x4 - x2)))) + (((-0.1020397 / (x2 + (x3 + 0.7537442))) - x1) + (2.1645744 / ((x0 / -2.2474656) + 0.90517175)))) * 22.604322)"
90,3242.6228,"(((((x3 + (x3 + (x4 - x2))) * 0.032799333) * ((x0 * 3.3918705) + (x0 + (0.2727352 + (x4 - x2))))) + (((-0.1020397 / (x2 + (x3 + 0.7537442))) - x1) + (2.1580167 / ((x0 / -2.2424202) + 0.90517175)))) * 22.604322)"
