Complexity,Loss,Equation
1,3.7019058e6,"45.319813"
5,3.4499412e6,"(45.394295 + x0)"
9,1.5635546e6,"(42.541492 - (x0 * -22.765762))"
13,812161.6,"(87.2658 - ((x2 + x3) * -87.608665))"
16,686467.7,"(66.64084 - (x3 / (-0.40243122 - x2)))"
19,619741.5,"(sqrt_abs((x3 - -0.7594557) + x2) * 96.16264)"
20,338718.25,"(80.903496 - (-5.9787426 / ((-0.8127597 - x2) - x3)))"
24,309306.94,"(76.373604 - ((x0 + (x2 + -1.3122151)) / (-0.35447475 - x3)))"
28,227156.81,"(66.381584 - (((x3 / ((-0.8083036 - x3) - x2)) - x0) * 13.852945))"
32,210786.56,"(65.960556 - (((x3 / ((-1.1539885 - (x2 + x3)) - x3)) - x0) * 16.926859))"
34,203992.6,"(66.97852 - (((x3 / ((-0.815413 - x3) - x2)) - cube(x0)) * 14.879214))"
36,157838.08,"(((2.2608829 / ((-0.7641585 - x2) - x3)) + 59.45653) - ((x1 - (x0 * 1.8554)) * 18.762323))"
40,152853.38,"(((2.275351 / ((-0.7641585 - x2) - x3)) + 59.45653) - (((x1 - (x0 * 1.8618784)) * 18.762323) + x4))"
44,134925.73,"(((2.1984642 / ((-0.75675505 - x2) - x3)) + 53.483368) - ((x1 - (((-1.9143125 - x0) * x0) * -0.7538536)) * 21.752157))"
48,129590.21,"((((2.0628345 / ((-0.7566379 - x2) - x3)) + 53.07276) - x4) - ((x1 - (((-1.9257025 - x0) * x0) * -0.75607467)) * 21.473024))"
52,123759.84,"((x4 * -2.7674737) + (((2.075493 / ((-0.75607467 - x2) - x3)) + 53.07276) - ((x1 - (((-1.9498838 - x0) * x0) * -0.75607467)) * 21.635258)))"
55,123714.305,"((x4 / -0.34446532) + (((2.085504 / ((-0.75607467 - x2) - x3)) + 53.07276) - ((x1 - (((-1.9608531 - x0) * x0) * -0.75607467)) * 21.635258)))"
56,118530.19,"(((x4 * -3.2724116) + 47.509914) - ((x1 - ((((-1.8410163 - x0) * x0) - ((x3 / ((-0.75748485 - x2) - x3)) * -0.32700798)) * -0.87733275)) * 20.984772))"
60,115139.734,"(((x4 * (-3.2724116 + x0)) + 47.509914) - ((x1 - ((((-1.8410163 - x0) * x0) - ((x3 / ((-0.75748485 - x2) - x3)) * -0.32700798)) * -0.87733275)) * 20.984772))"
64,108662.36,"(((x4 * (-4.263778 + (x0 * 5.210371))) + 47.509914) - ((x1 - ((((-1.8410163 - x0) * x0) - ((x3 / ((-0.75675505 - x2) - x3)) * -0.34639183)) * -0.8722254)) * 20.984772))"
68,105432.73,"(((x4 * (-4.0856586 - (x2 - (x0 * 5.3756137)))) + 47.509914) - ((x1 - ((((-1.8238825 - x0) * x0) - ((x3 / ((-0.7566379 - x2) - x3)) * -0.34719232)) * -0.87285244)) * 20.984772))"
72,103509.48,"(((x4 * (-4.588866 - x2)) + 46.893444) - ((x0 + ((x1 - (((((x4 * -0.38611147) - x0) * x0) - ((x3 / ((-0.76274115 - x2) - x3)) * -0.43278313)) * -0.7241773)) * -0.60440177)) * -36.88806))"
76,102246.59,"(((x4 * ((-4.588866 - x2) - x2)) + 46.893444) - ((x0 + ((x1 - (((((x4 * -0.39132917) - x0) * x0) - ((x3 / ((-0.76274115 - x2) - x3)) * -0.43278313)) * -0.7241773)) * -0.60440177)) * -36.88806))"
80,101877.95,"((x3 + ((x4 * ((-4.498601 - x2) - x2)) + 46.716915)) - ((x0 + ((x1 - (((((x4 * -0.38957182) - x0) * x0) - ((x3 / ((-0.7624449 - x2) - x3)) * -0.42380172)) * -0.72567046)) * -0.5977824)) * -36.88806))"
84,101432.82,"(((x4 * (((-4.493007 - x2) - x2) - (x2 * x0))) + 46.716915) - ((x0 + ((x1 - (((((x4 * -0.37753496) - x0) * x0) - ((x3 / ((-0.7624449 - x2) - x3)) * -0.4239397)) * -0.73102194)) * -0.6076789)) * -36.88806))"
88,101072.61,"((x3 + ((x4 * (((-4.493007 - x2) - x2) - (x2 * x0))) + 46.716915)) - ((x0 + ((x1 - (((((x4 * -0.38750648) - x0) * x0) - ((x3 / ((-0.7624449 - x2) - x3)) * -0.42380172)) * -0.72902507)) * -0.5982065)) * -36.88806))"
