Complexity,Loss,Equation
1,1.7802256e8,"46.135857"
5,1.6251917e8,"(x0 + 46.23274)"
9,6.7701784e7,"((x0 * 20.058495) + 43.570656)"
13,3.564178e7,"(((x3 + x2) + 1.1287805) * 69.470024)"
16,2.7720346e7,"((x3 / (x2 - -0.40325922)) + 65.274635)"
19,2.0813548e7,"((cube(x3 + x2) * 128.81053) + 71.44887)"
20,1.251342e7,"((-4.8274217 / (x3 + (x2 + 0.8042995))) + 77.45118)"
24,1.0577619e7,"(((x0 + (x2 + -1.4866846)) / (x3 + 0.36202213)) + 74.706276)"
28,7.4469005e6,"(((x3 / ((x3 + x2) + 0.8131074)) + (x0 + 4.9243217)) * 13.359383)"
32,6.785292e6,"(((x3 / ((x3 + (x2 + x3)) + 1.1599226)) + (x0 + 3.9463906)) * 16.533651)"
34,6.424098e6,"((cube(x0) + ((x3 / ((x3 + 0.8337797) + x2)) + 4.054635)) * 16.302555)"
36,4.923812e6,"(((x1 * -0.5198938) + ((-0.110855184 / ((x3 + 0.7823321) + x2)) + (x0 + 2.2345858))) * 28.502516)"
40,4.755456e6,"(((x1 * -0.54474974) + ((-0.09408221 / ((x2 + 0.7739101) + x3)) + (x0 + 2.1941404))) * (x2 + 28.502516))"
44,4.610895e6,"(((x1 * -0.56469357) + ((-0.06442636 / ((x3 + 0.7609554) + x2)) + ((x2 * 0.18105927) + (x0 + 1.9904267)))) * 30.255554)"
47,4.4936875e6,"((x4 * neg(x2)) + (((x1 * -0.5251458) + ((-0.073618755 / ((x3 + 0.7649478) + x2)) + (x0 + 2.0003052))) * 30.28408))"
48,4.28701e6,"((x4 * (x4 * x2)) + (((x1 * -0.53692245) + ((-0.068234496 / ((x3 + 0.7624722) + x2)) + (x0 + 1.9905087))) * 30.28408))"
52,4.1809445e6,"(((x1 * -0.53529125) + (((0.017369801 * (x4 * x4)) * x2) + ((-0.069156565 / ((x3 + 0.7624722) + x2)) + (x0 + 1.9921203)))) * 30.28408)"
56,4.1404318e6,"(x2 + (((x1 * -0.5441527) + (((x4 * (x4 * 0.016545577)) * x2) + ((-0.06834659 / ((x3 + 0.7624722) + x2)) + (x0 + 1.9895418)))) * 30.28408))"
59,4.105859e6,"(((x1 * -0.5072388) + ((-0.29098335 / ((x3 / (x2 + 0.63923335)) + 1.5082142)) + (x0 + ((x2 * ((x4 - x0) * -0.106088154)) + 1.9307019)))) * 31.83138)"
63,3.9168622e6,"(((x1 * -0.49077427) + ((-0.27618432 / ((x3 / (x2 + 0.6629309)) + 1.3875852)) + (x0 + ((x4 * (((x2 - x0) - -0.43851343) * -0.10773784)) + 1.7833409)))) * 34.50045)"
67,3.8105358e6,"(x2 + (((x1 * -0.4991068) + ((-0.27618432 / ((x3 / (x2 + 0.66358143)) + 1.3875852)) + (x0 + ((x4 * (((x2 - x0) - -0.4450547) * -0.107771486)) + 1.7762833)))) * 34.50045))"
71,3.658917e6,"(((x1 * -0.49818316) + ((-0.3617068 / ((x3 / (x2 + 0.6565311)) + 1.4575454)) + (x0 + ((x4 * (((2.9662395 - (x2 * x4)) - (x0 * 4.9243217)) * -0.030031947)) + 2.0048888)))) * 31.919178)"
74,3.652101e6,"(((x1 * -0.49883604) + ((-0.3609811 / ((x3 / (x2 + 0.6565311)) + 1.4575454)) + (x0 + ((x4 * (((3.1288002 - (x2 * x4)) - (x0 / 0.19389917)) * -0.029638976)) + 2.0003052)))) * 31.919178)"
75,3.6462812e6,"(((x1 * -0.502535) + ((-0.3617068 / ((x3 / (x2 + 0.6565311)) + 1.4575454)) + (x0 + ((x4 * ((((2.8777769 - (x2 * x4)) - x1) - (x0 * 4.9243217)) * -0.030031947)) + 2.0048888)))) * 31.919178)"
78,3.3674722e6,"(((x1 * -0.50348586) + ((-0.38335374 / ((x3 / (x2 + 0.6570871)) + 1.4575454)) + (x0 + (((x4 + x0) * (((2.9135444 - (x2 * x4)) - (x0 / 0.17513107)) * -0.028986044)) + 1.9884185)))) * 31.919178)"
82,3.2311362e6,"(((x1 * -0.43383002) + ((-0.3868713 / ((x3 / (x2 + 0.6565311)) + 1.453932)) + (x0 + (((x4 + x1) * (((4.054635 - (x2 * x4)) - (x0 / 0.16537213)) * -0.031980004)) + 2.0121865)))) * (30.255554 + x0))"
86,3.1143835e6,"(((x1 * -0.47292745) + ((-0.3882793 / ((x3 / (x2 + 0.6559295)) + 1.453932)) + (x0 + (((x4 + x1) * (((4.054635 - (x2 * x4)) - (x0 / 0.16625704)) * -0.031479664)) + 2.009121)))) * ((30.255554 + x0) + x0))"
90,3.066526e6,"(((x1 * -0.4991576) + ((-0.40250564 / ((x3 / (x2 + 0.6559295)) + 1.4567645)) + (x0 + (((x4 + x1) * (((4.054635 - (x2 * x4)) - (x0 / 0.17434143)) * -0.03306875)) + 2.009121)))) * (((30.255554 + x0) + x0) + x0))"
