Complexity,Loss,Equation
1,1056.5055,"67.79122"
5,1035.5424,"(x3 + 67.61864)"
9,771.867,"((x0 + x3) * 117.94399)"
13,516.8168,"((x0 - (x1 * 0.4399848)) * 140.46947)"
17,463.56976,"(((x0 - -0.3674607) + (x1 * -0.4564669)) * 80.461624)"
19,397.48816,"(cube((x2 + x3) * 5.554343) + 80.90321)"
20,334.5236,"((-8.626021 / ((x3 + 0.8252302) + x2)) + 92.39188)"
24,322.7283,"((-6.50297 / ((x3 + 0.62266773) + (x2 * 0.5486533))) + 93.076096)"
28,272.5314,"(((x0 + (x3 / ((x2 + x3) + 0.8092097))) * 17.949577) + 69.9068)"
32,264.17444,"(((x0 + (x3 / ((x2 + 0.8125515) + x3))) * (x1 + 18.063768)) + 69.64658)"
34,244.11536,"(((cube(x0) + (x3 / ((x3 + 0.8242301) + x2))) * 19.930014) + 70.09332)"
36,207.235,"((x0 * 42.37586) + (((x1 - (-0.15972948 / ((x3 + 0.7735995) + x2))) * -22.062874) + 62.99814))"
39,207.22662,"((((x1 - (x0 / 0.5208297)) - (-0.16130973 / ((x2 + 0.77425045) + x3))) * -22.13166) + 63.05307)"
40,204.07228,"((x0 * 43.006325) + (((x1 - (-0.1575308 / ((x2 + 0.77423656) + x3))) * (x1 + -22.876259)) + 62.139046))"
42,199.2561,"(((((x1 - cube(x0)) - x0) - (-0.15206568 / ((x3 + 0.7661899) + x2))) * -21.51151) + 64.39913)"
46,197.14728,"(((((x1 - cube(x0)) - x0) - (-0.13891241 / ((x3 + 0.7624954) + x2))) * -21.4612) + (x3 + 63.61643))"
50,191.89177,"(((((x1 - cube(x0)) - x0) - (-0.12538883 / ((x3 + 0.7615081) + x2))) * -24.118683) + ((x4 * x4) + 61.11104))"
54,189.45363,"(((((x1 - cube(x0)) - x0) - (-0.12396543 / ((x3 + 0.7611166) + x2))) * -23.66184) + ((x4 * x4) + (x3 + 60.963425)))"
58,188.50685,"(((((x1 - cube(x0)) - x0) - (-0.12302343 / ((x3 + 0.76106477) + x2))) * -23.077505) + ((x4 * x4) + ((x3 * 2.4571803) + 60.963425)))"
60,187.20613,"(((((x1 - cube(relu(x0))) - x0) - (-0.1271843 / ((x3 + 0.76106477) + x2))) * -23.66184) + ((x4 * x4) + (x3 + 60.963425)))"
64,186.44125,"(((((x1 - cube(relu(x0))) - x0) - (-0.12663816 / ((x3 + 0.76106477) + x2))) * -23.66184) + ((x4 * x4) + (x3 + (x3 + 60.963425))))"
68,183.69264,"((x4 * (x4 * (1.2145832 - x0))) + (((x0 + (((x1 - (x0 * ((x0 * x1) * x0))) - (x3 / ((x2 + 0.8089819) + x3))) * -0.51475066)) * 32.315784) + 56.337383))"
72,183.1546,"((x4 * (x0 + (x4 * (1.3020295 - x0)))) + (((x0 + (((x1 - (x1 * ((x0 * x0) * x0))) - (x3 / ((x2 + 0.80946875) + x3))) * -0.5204592)) * 32.315784) + 56.224545))"
76,181.12115,"(((x0 + ((x1 - (x3 / ((x2 + 0.81040674) + x3))) * -0.61274844)) * 26.971865) + ((x4 * x4) + ((x0 * (x0 * (x0 * (((x1 + 0.6791594) * 12.530955) - (x4 * x4))))) + 57.226902)))"
80,180.44821,"(((x0 + ((x1 - (x3 / ((x2 + 0.80946875) + x3))) * -0.6134752)) * 26.971865) + ((x4 * x4) + ((x0 * (x0 * (x0 * (((x1 + 0.6741568) * 12.530955) - ((-1.5637206 + x4) * x4))))) + 57.203003)))"
83,178.14293,"(((x0 + ((x1 - (x3 / ((x2 + 0.80608666) + x3))) * -0.6390059)) * 26.272787) + ((x4 * x4) + (((x0 * (x0 * ((x4 / (x2 + 0.5023547)) + ((x1 + 0.66021353) * 12.530955)))) * x0) + 57.335953)))"
87,177.8057,"(((x0 + ((x1 - (x3 / ((x2 + 0.80608666) + x3))) * -0.6392263)) * 26.272787) + ((x4 * x4) + (((x0 * (x0 * ((x4 / ((x2 + 0.8284149) + x3)) + ((x1 + 0.66181886) * 12.530955)))) * x0) + 57.335953)))"
