Complexity,Loss,Equation
1,1046.5107,"67.40089"
5,1024.2155,"(x2 + 67.18333)"
9,773.73193,"(50.293793 - (x0 * -29.837572))"
13,514.6762,"((x0 * 138.69102) - (x1 * 60.325294))"
17,470.3743,"((28.517529 - (x0 * -80.79882)) - (x1 * 36.606274))"
19,418.8455,"(cube((x2 + x3) * 5.535782) + 80.38275)"
20,346.4854,"((-8.2351055 / (x3 + (x2 + 0.82194155))) + 91.24462)"
24,336.36017,"((-11.979943 / (x2 + (x3 + (1.197309 + x3)))) + 92.09293)"
28,277.21375,"(69.278145 - (((x3 / ((x2 + x3) + 0.8103156)) + x0) * -18.032877))"
32,269.33804,"(68.4379 - (((x3 / ((x3 + (x3 + x2)) + 1.1564535)) + x0) * -21.730389))"
34,250.2546,"(69.27582 - (((x3 / ((x3 + x2) + 0.82658565)) + cube(x0)) * -20.056719))"
36,210.95215,"((-3.1186836 / ((x2 + x3) + 0.76703745)) + (60.402626 - (((x1 * -0.5080848) + x0) * -44.94022)))"
40,209.0426,"((((-2.854123 / ((x2 + x3) + 0.7626806)) + 58.958916) - x4) - (((x0 - x1) + x0) * -23.226656))"
42,201.97322,"(((-2.8787198 / ((x2 + x3) + 0.7592001)) + 62.207363) - (((cube(x0) - x1) + x0) * -22.488886))"
46,199.1543,"((((-2.8344905 / ((x2 + x3) + 0.7578796)) + 62.11875) - x4) - (((cube(x0) - x1) + x0) * -22.581978))"
50,192.951,"((((-2.8784509 / ((x2 + x3) + 0.75571734)) + 60.98847) + (x4 * x4)) - (((cube(x0) - x1) + x0) * -22.488886))"
52,187.826,"((((-3.0924566 / ((x2 + x3) + 0.766843)) + 55.817524) - (x0 * (((x1 * x1) + x0) * -14.673869))) - ((x0 - x1) * -32.00068))"
56,183.22552,"(((((-3.0924566 / ((x2 + x3) + 0.766843)) + 55.817524) - (x0 * (((x1 * x1) + x0) * -14.648745))) - ((x0 - x1) * -32.091824)) - x4)"
60,170.04933,"(((((-2.48696 / ((x2 + x3) + 0.7540585)) + 50.293793) - (x0 * (((x1 * x1) + x0) * -16.543072))) - ((x0 - x1) * -36.56549)) + (x4 * x4))"
64,165.65457,"(((((-2.6611311 / ((x2 + x3) + 0.75672776)) + 49.570976) - (x0 * (((x1 * x1) + x0) * -16.543072))) - ((x0 - x1) * -37.802452)) + ((x4 * 1.9077423) * x4))"
68,162.16135,"(((((-2.743927 / ((x2 + x3) + 0.76119506)) + 50.89122) - (((x1 * x1) + x0) * (x0 * -16.543072))) - ((x0 - x1) * -36.198315)) - ((x4 * (x0 - 1.19336)) * x4))"
72,158.65927,"(((((-2.589758 / ((x2 + x3) + 0.76001334)) + 50.382477) - (((x1 * x1) + x0) * (x0 * -16.012325))) - ((x0 - x1) * -36.564148)) - ((x4 * x4) * ((x0 - x2) + -1.2260473)))"
76,157.78308,"(((((-2.8640323 / ((x2 + x3) + 0.75885946)) + 50.293793) - (x0 * ((x1 * (x1 * -16.47894)) + (x0 * -16.47894)))) - ((x0 - x1) * -36.68802)) + (((x4 + 13.043716) * (x4 * x4)) * 0.21159898))"
80,156.66586,"(((((-2.8640323 / ((x2 + x3) + 0.75885946)) + 50.293793) - (x0 * ((x1 * (x1 * -16.47894)) + (x0 * -16.47894)))) - ((x0 - x1) * -36.68802)) + ((((x4 - x0) + 13.594195) * (x4 * x4)) * 0.21378238))"
84,153.1574,"(((((-3.0031052 / ((x2 + x3) + 0.76521254)) + 50.236027) - (x0 * (((x4 * x4) - (x1 * (x1 * 16.974272))) + (x0 * -16.47894)))) - ((x0 - x1) * -36.68802)) + (((x4 - -13.737024) * (x4 * x4)) * 0.21131572))"
88,152.74399,"(((((-3.0031052 / ((x2 + x3) + 0.76521254)) + 50.236027) - (x0 * (((x4 * (x4 - x0)) - (x1 * (x1 * 16.974272))) + (x0 * -16.488153)))) - ((x0 - x1) * -36.68802)) + (((x4 + 14.523243) * (x4 * x4)) * 0.20034532))"
