Complexity,Loss,Equation
1,48535.07,"61.21686"
5,47154.297,"(x3 - -61.033733)"
9,34229.477,"((x0 * 24.017807) - -49.856606)"
13,19509.914,"(((x3 + x2) * 72.004715) + 84.86741)"
17,18405.678,"((x3 * 115.57196) + ((x2 * 61.727165) + 93.61632))"
19,14284.083,"(cube((x2 + x3) * 5.219249) + 76.42898)"
20,11547.879,"((-8.3127775 / ((x3 + x2) + 0.83593184)) + 87.97013)"
24,10917.343,"((-12.26454 / (x2 + ((x3 * 1.943398) + 1.2009953))) + 88.93943)"
28,8619.728,"((((x3 / (x2 + (x3 + 0.8115686))) + x0) * 15.928154) + 68.4632)"
32,8191.7256,"((((x3 / (x2 + (x3 + 0.81527424))) + x0) * (x1 + 16.284794)) + 68.11398)"
34,7563.8726,"((((x3 / (x3 + (x2 + 0.8256938))) + cube(x0)) * 18.143017) + 68.82468)"
36,6052.035,"((((x1 * -0.53306127) + x0) * 38.24866) + ((-3.3961275 / ((x3 + x2) + 0.77704185)) + 62.952972))"
40,5947.187,"((((x0 - x1) + x0) * (x4 + 19.44971)) + ((-3.341598 / ((x3 + x2) + 0.7777913)) + 62.11233))"
42,5744.333,"((((x0 - x1) + cube(x0)) * 20.025295) + ((-3.060788 / ((x3 + x2) + 0.7674217)) + 63.39431))"
46,5515.6577,"((((x0 - x1) + cube(x0)) * (x4 + 20.025295)) + ((-3.068085 / ((x3 + x2) + 0.7689049)) + 63.341614))"
48,5444.7095,"((((x0 - x1) + x0) * 19.433636) + (((((x0 + -0.46782815) * x4) + -3.7993908) / ((x3 + x2) + 0.7779254)) + 63.125614))"
50,5389.178,"(((((x0 - x1) + cube(x0)) * (x4 + 20.200468)) - x4) + ((-3.0780003 / ((x3 + x2) + 0.7689049)) + 63.341614))"
52,5370.4736,"((((x0 + x0) - x1) * 19.603739) + (((((x4 + x2) * (x0 + -0.37751466)) + -3.7993908) / ((x3 + x2) + 0.77619994)) + 62.756123))"
54,5331.164,"(((((x0 - x1) + cube(x0)) * (x4 + (x3 + 20.025295))) - x4) + ((-3.068085 / ((x3 + x2) + 0.7689049)) + 63.341614))"
56,5059.302,"(((x1 + x4) * ((x0 * 7.178289) + -4.87171)) + ((((x0 - x1) + x0) * 20.932322) + ((-3.068085 / ((x3 + x2) + 0.76625603)) + 57.625633)))"
60,4947.6846,"((((x1 + x4) + x0) * ((x0 * 6.218801) + -4.420108)) + ((((x0 - x1) + x0) * 21.749819) + ((-3.3117027 / ((x3 + x2) + 0.7686548)) + 57.625633)))"
63,4918.728,"(((x1 + x4) * ((x0 / (x3 + 0.44368118)) + -5.1619363)) + ((((x0 - x1) + x0) * 20.932322) + ((-3.1732228 / ((x3 + x2) + 0.76625603)) + 57.81479)))"
64,4884.296,"(((((x1 + x4) + 0.7396323) + x0) * ((x0 * 5.926893) - 4.8752975)) + ((((x0 - x1) + x0) * 20.932322) + ((-3.068085 / ((x3 + x2) + 0.7673502)) + 58.801933)))"
66,4803.5806,"(((x4 + (x1 + x0)) * ((cube(x0) * 6.218801) - 3.7948756)) + ((((x0 - x1) + x0) * 20.932322) + ((-3.068085 / ((x3 + x2) + 0.7674217)) + 57.356026)))"
68,4482.706,"((((x0 * 3.5865698) - 2.8620715) * ((x4 + (x1 * 3.050506)) * (x1 + 2.107066))) + ((((x0 - x1) + x0) * 20.025295) + ((-3.3961275 / ((x3 + x2) + 0.77619994)) + 57.625633)))"
72,4470.576,"((((x0 * 3.438823) - 2.9664044) * ((x1 + ((x4 + 0.8838529) + x1)) * (x1 + 2.509905))) + ((((x0 - x1) + x0) * 19.895302) + ((-2.9638124 / ((x3 + x2) + 0.7684369)) + 58.768375)))"
76,4422.0366,"((((x0 * 3.438823) - 3.048366) * ((x4 + (x1 + ((x1 + 0.9872501) + x0))) * (x1 + 2.3110158))) + ((((x0 - x1) + x0) * 20.025295) + ((-2.9638124 / ((x3 + x2) + 0.7684369)) + 59.538364)))"
80,4380.2656,"(x3 + ((((x0 * 3.438823) - 3.0210283) * ((x4 + (x1 + ((1.0627012 + x0) + x1))) * (x1 + 2.349601))) + ((((x0 - x1) + x0) * 19.603739) + ((-2.9068937 / ((x3 + x2) + 0.76739556)) + 59.538364))))"
