Complexity,Loss,Equation
1,2.221985e6,"57.706703"
5,2.132072e6,"(x2 + 57.51988)"
9,1.5413465e6,"((x0 * 19.240408) - -48.96692)"
13,876723.2,"(((x3 + x2) + 1.6182246) * 42.81063)"
17,789416.44,"((x2 + ((x3 * 2.1635604) + 2.0358074)) * 38.51579)"
19,636599.06,"((cube(x2 + x3) + 0.61955357) * 113.79223)"
20,465405.66,"((-7.6988554 / (x2 + (x3 + 0.8435373))) + 82.66376)"
24,433513.16,"((-11.967018 / (x2 + (x3 + (x3 + 1.2405487)))) + 83.96584)"
28,309342.38,"(((x3 / ((x2 + x3) + 0.8179129)) + (x0 + 4.363857)) * 15.068052)"
32,292704.25,"(((x3 / ((x2 + (x3 + x3)) + 1.1614391)) + (x0 + 3.6436956)) * 17.946602)"
34,270930.12,"(((x3 / (x3 + (x2 + 0.83932906))) + (cube(x0) + 3.6401393)) * 18.182447)"
36,216293.28,"(((-0.1927442 / (x3 + (x2 + 0.7774966))) + ((x0 - x1) + (x0 + 3.7565858))) * 16.56866)"
40,208546.45,"((((-0.14478932 / (x3 + (x2 + 0.766481))) + (x0 + ((x0 - x1) + 3.2151198))) * 18.549383) - x4)"
42,197241.84,"(((-0.15771595 / (x3 + (x2 - -0.76703686))) + (x0 + ((cube(x0) - x1) + 3.3562138))) * 18.644753)"
46,188919.83,"((((-0.14930648 / (x2 + (x3 - -0.7642903))) + ((x0 - x1) + (cube(x0) + 3.2975435))) * 18.808498) - x4)"
50,187345.77,"(((-0.1499482 / (x2 + (x3 - -0.7628039))) + ((x4 * -0.08573916) + ((x0 - x1) + (cube(x0) + 3.3562138)))) * 18.52892)"
52,161260.14,"(((-0.112194404 / (x3 + (x2 + 0.7608977))) + ((x0 + (2.647657 - x1)) + (x0 - ((x0 - 0.7696988) * (x4 * -0.3238876))))) * 21.069809)"
56,148334.9,"(((-0.11920965 / (x3 + (x2 + 0.7561296))) + ((x0 + (2.6157691 - x1)) + (x0 - ((x0 + -0.7073205) * ((x4 + x1) * -0.39218777))))) * 20.83759)"
60,143403.75,"(((-0.11846581 / (x3 + (x2 + 0.75707275))) + ((x0 + (2.6621687 - x1)) + (x0 + ((x0 + -0.787212) * (((x4 - -0.5888845) + x1) * 0.42142758))))) * 20.805521)"
62,141133.92,"(((-0.11582486 / (x3 + (x2 + 0.75707275))) + ((2.5903609 - x1) + ((x0 + x0) - ((cube(x0) + -0.6203645) * ((x4 + x1) * -0.4450114))))) * 20.805521)"
64,133428.33,"(((-0.1363483 / (x2 + (x3 + 0.77181))) + ((x0 + (2.504937 - x1)) + (x0 + ((x4 + ((x1 + 1.9414519) * x1)) * ((x0 + -0.8054477) * 0.4917124))))) * 21.53699)"
68,132822.06,"(((-0.13559179 / (x2 + (x3 + 0.76993275))) + ((x0 + (1.2592674 - x1)) + (x0 + (((x4 + ((1.950667 + x1) * x1)) * ((x0 + -0.8009715) * 0.50364894)) + 1.3587718)))) * 20.729097)"
72,131578.03,"((((-0.14116125 / (x2 + (x3 + 0.7714719))) + ((x0 + (1.3785961 - x1)) + (x0 + (((x4 + ((x1 + 2.0511472) * x1)) * ((x0 + -0.7555334) * 0.47743192)) + 1.2188331)))) * 20.733614) - x4)"
76,127767.68,"((((-0.1408865 / (x2 + (x3 + 0.77181))) + ((x0 + (1.3748333 - x1)) + (x0 + (((x4 + ((x1 + 2.0520039) * x1)) * ((x0 + -0.7671483) * 0.48527604)) + 1.2188331)))) * 20.733614) - (x1 * x4))"
78,127237.53,"(abs(x4) + (((-0.14116125 / (x2 + (x3 + 0.77115744))) + ((x0 + (1.3598834 - x1)) + (x0 + (((x4 + ((x1 + 2.0483787) * x1)) * ((x0 + -0.7772) * 0.4892104)) + 1.2000792)))) * 20.805521))"
80,124185.42,"((x4 * (x1 * -2.768996)) + (((-0.14093687 / (x2 + (x3 + 0.77181))) + ((x0 + (1.344216 - x1)) + (x0 + (((x4 + ((x1 + 2.137371) * x1)) * ((x0 + -0.7261326) * 0.47984946)) + 1.2000792)))) * 20.83759))"
82,121874.95,"(abs(x4 * -3.3190277) + (((-0.14418347 / (x2 + (x3 + 0.76890045))) + ((x0 + (1.3148605 - x1)) + (x0 + (((x4 + ((x1 + 2.3000631) * x1)) * ((x0 + -0.74154645) * 0.45007616)) + 1.1443247)))) * 20.805521))"
86,117816.12,"(abs(x4 * (x1 * 4.550228)) + (((-0.14885944 / (x2 + (x3 + 0.7700616))) + ((x0 + (1.3464551 - x1)) + (x0 + (((x4 + ((x1 + 2.234916) * x1)) * ((x0 + -0.7767212) * 0.4117295)) + 1.1614391)))) * 20.83759))"
90,116424.23,"(abs(x4 + (x4 * (x1 * -5.1648583))) + (((-0.14885944 / (x2 + (x3 + 0.77181))) + ((x0 + (1.3526875 - x1)) + (x0 + (((x4 + ((x1 + 2.1501632) * x1)) * ((x0 + -0.78066105) * 0.41404366)) + 1.1649115)))) * 20.83759))"
