Complexity,Loss,Equation
1,1383.2352,"54.53335"
5,1361.7703,"(x0 + 54.482872)"
9,547.76074,"((x0 * 208.11282) + 85.83722)"
13,543.7387,"(((x0 * 205.87286) - x2) + 84.7247)"
15,441.1252,"(cube(x0 * 12.033067) + 73.924706)"
16,381.7011,"((-7.5638614 / (x0 - -0.42132178)) + 93.61962)"
20,350.9103,"(((x1 - 5.5080185) / (x0 - -0.40019903)) + 89.93073)"
24,340.7083,"((x1 * 14.937634) + ((-5.1977234 / (x0 - -0.4005395)) + 86.328476))"
27,340.68643,"((x1 / 0.066327386) + ((-5.1216207 / (x0 - -0.39954254)) + 86.23851))"
28,286.94144,"(((x1 - -1.4387349) - x2) * ((-3.011614 / (x0 - -0.41467878)) + 40.837303))"
32,245.5373,"(((x1 - -1.5038593) - x2) * (((x1 - 2.0438027) / (x0 - -0.39458382)) + 37.813618))"
36,234.6296,"((((x1 * 1.2988342) - -1.244291) - x2) * (((x1 - 2.2250352) / (x0 - -0.39798388)) + 40.936287))"
40,221.95676,"(((x1 - -1.2889148) - x2) * ((((x1 * (x1 - -0.93189746)) - 1.9578356) / (x0 - -0.37714303)) + 40.939377))"
43,216.09116,"(((x1 - -1.2297772) - x2) * ((((x1 / (1.2401358 - x1)) - 2.4852922) / (x0 - -0.39278233)) + 42.75944))"
44,210.14262,"((((x1 * 1.3106004) - -1.1215717) - x2) * (((((x1 - -0.6921713) * x1) - 1.7383649) / (x0 - -0.36915675)) + 42.141277))"
48,202.29492,"((((x1 * 1.2886714) - -1.0437651) - x2) * (((((x1 * (x2 - -1.8729795)) * x1) - 2.1752956) / (x0 - -0.3762671)) + 44.569023))"
52,202.23804,"((((x1 * 1.28842) - -1.0437651) - x2) * ((((((x1 * 0.9815914) * (x2 - -1.904331)) * x1) - 2.1752956) / (x0 - -0.3762671)) + 44.569023))"
56,200.05264,"((((x1 * 1.306444) - -1.1760198) - x2) * ((x3 * -1.9334707) + (((((x1 * (x2 - -1.8897678)) * x1) - 2.2833774) / (x0 - -0.38175905)) + 42.141277)))"
60,197.22334,"((((x1 * 1.3123122) - -1.1424676) - x2) * (((x3 - 2.0382078) * x3) + (((((x1 * (x2 - -1.7864224)) * x1) - 2.1771421) / (x0 - -0.38175905)) + 42.141277)))"
64,196.577,"((((x1 * 1.3021564) - -1.1323451) - x2) * (((1.551526 - x3) * (0.4817852 - x3)) + (((((x1 * (x2 - -1.8496528)) * x1) - 2.2833774) / (x0 - -0.38175905)) + 42.141277)))"
68,194.47853,"((((x1 * 1.3021564) - -1.1323451) - x2) * ((((1.551526 - x4) - x3) * (0.5124828 - x3)) + (((((x1 * (x2 - -1.8496528)) * x1) - 2.2833774) / (x0 - -0.38175905)) + 42.141277)))"
72,191.416,"((((x1 * 1.3021564) - -1.1323451) - x2) * (((((1.1057138 - x4) - x3) - x3) * (0.58129346 - x3)) + (((((x1 * (x2 - -1.8496528)) * x1) - 2.317327) / (x0 - -0.38175905)) + 42.141277)))"
76,190.87863,"((((x1 * 1.3021564) - -1.1323451) - x2) * ((((((0.58129346 - x3) - x4) - x3) - x3) * (0.58129346 - x3)) + (((((x1 * (x2 - -1.8496528)) * x1) - 2.317327) / (x0 - -0.38175905)) + 42.141277)))"
84,190.74318,"(((x1 - -1.1356281) - x2) * ((x1 * ((x1 - (x2 * (x0 + (x0 - -0.34441414)))) * 14.167505)) + ((x3 * (((x4 + -0.5419004) + x3) * (3.7757213 - x1))) + (((x1 - 1.8102237) / (x0 - -0.37563545)) + 39.724678))))"
88,189.53078,"(((x1 - -1.1366048) - x2) * ((x1 * ((x1 - (x2 * (x0 + (x0 - -0.3500207)))) * 14.167247)) + ((x3 * (((x4 + -0.5412056) + x3) * ((3.9946866 - x1) + x4))) + (((x1 - 1.8120887) / (x0 - -0.37567925)) + 39.724678))))"
