Complexity,Loss,Equation
1,1383.2352,"54.534092"
5,1361.7703,"(x0 + 54.482765)"
9,547.7607,"((x0 + 0.41246217) * 208.1554)"
13,543.7387,"(((x0 - -0.4114972) * 205.91537) - x2)"
15,441.12515,"(cube(x0 * 12.033979) + 73.93355)"
16,381.6947,"((-7.463167 / (x0 + 0.4202666)) + 93.435776)"
20,350.90988,"(((x1 + -5.5223823) / (x0 + 0.40036023)) + 89.9659)"
24,340.7083,"(((-5.2093415 / (x0 + 0.40061226)) - (x1 * -14.998415)) + 86.37476)"
28,286.93604,"(((x1 - x2) + 1.4235837) * ((-3.0661588 / (x0 + 0.41546747)) + 41.201145))"
32,245.53725,"((x1 + (1.5045452 - x2)) * (((x1 + -2.0441678) / (x0 + 0.39460918)) + 37.79999))"
36,236.4798,"(((x1 * 1.2834578) + (1.5316337 - x2)) * (((x1 + -1.8802631) / (x0 + 0.39301142)) + 35.994427))"
40,229.0635,"(((((x0 - -1.0358323) * x1) + 1.4978065) - x2) * (((x1 + -0.9838825) / (x0 + 0.35771948)) + 34.11452))"
44,223.12747,"((x1 + (1.3925084 - x2)) * (((x1 + -1.8507864) / (x0 + 0.38686112)) + ((x1 * (x1 * 10.573657)) + 36.89112)))"
47,222.97098,"((x1 + (1.3827524 - x2)) * (((x1 + -1.8603048) / (x0 + 0.38686112)) + ((x1 * (x1 / 0.09153098)) + 36.990616)))"
48,217.29773,"((x1 + (1.3509148 - x2)) * (((x1 + -1.8010423) / (x0 + 0.38623336)) + ((x1 * ((x0 + x1) * 8.804314)) + 36.990616)))"
52,216.7472,"((x1 + (1.4017701 - x2)) * (((x1 + -1.7408148) / (x0 + 0.3849449)) + ((x1 * ((x0 + x1) * (8.804314 - x1))) + 36.186832)))"
55,216.67477,"(((x1 + (1.4437978 - x2)) * (((x1 + -1.7408148) / (x0 + 0.3874121)) + ((x1 * ((x0 + x1) / 0.11852928)) + 35.521816))) - x3)"
56,214.42798,"((x1 + (1.3794806 - x2)) * (((x1 + -1.7460111) / (x0 + 0.38523966)) + ((x3 * x3) + ((x1 * ((x0 + x1) * 8.804314)) + 36.186832))))"
60,211.83408,"((x1 + (1.3794806 - x2)) * (((x1 + -1.7609402) / (x0 + 0.38623336)) + (((x3 + x4) * x3) + ((x1 * ((x0 + x1) * 8.804314)) + 36.186832))))"
64,209.6979,"((x1 + (1.3684709 - x2)) * (((x1 + -1.8053685) / (x0 + 0.38686112)) + (((x3 + (x3 + x4)) * x3) + ((x1 * ((x0 + x1) * 8.804314)) + 36.186832))))"
68,207.16878,"((x1 + (1.3986174 - x2)) * (((x1 + -1.7625085) / (x0 + 0.38523966)) + ((((x3 + (x3 + x4)) + -1.7625085) * x3) + ((x1 * ((x0 + x1) * 8.821609)) + 35.727837))))"
71,206.6888,"(((x1 - x2) + 1.427447) * ((cube((sqrt_abs(x0 + (-1.8507551 * x2)) + x1) + x1) - relu(sinh(x0 / -0.08180943))) + 30.33236))"
72,206.59027,"((x1 + (1.3982509 - x2)) * (((x1 + -1.7766948) / (x0 + 0.38623336)) + ((((x3 + (x3 + x4)) + (x1 + -1.8171803)) * x3) + ((x1 * ((x0 + x1) * 8.821609)) + 35.727837))))"
75,204.79054,"(((x1 - x2) + 1.446775) * ((cube((sqrt_abs(-0.1877827 - ((x0 - x2) - x2)) + x1) + x1) - relu(sinh(x0 / -0.08256677))) + 29.22167))"
79,202.72113,"((((x1 - x2) + 1.4478056) * ((cube((sqrt_abs(-0.1877827 - (x0 - (x2 + x2))) + x1) + x1) - relu(sinh(x0 / -0.08256677))) + 29.210741)) - x3)"
83,201.45233,"(((((x1 - x2) + 1.4500988) * ((cube((sqrt_abs(0.1829474 + (x0 - (x2 + x2))) + x1) + x1) - relu(sinh(x0 / -0.08249282))) + 29.232035)) - x3) - x3)"
87,200.81412,"((((((x1 - x2) + 1.4576814) * ((cube((sqrt_abs(-0.18777859 - (x0 - (x2 + x2))) + x1) + x1) - relu(sinh(x0 / -0.082373686))) + 29.210741)) - x3) - x3) - x0)"
