Complexity,Loss,Equation
1,405.45853,"83.51973"
5,399.28342,"(83.583374 - x1)"
8,399.2834,"(neg(x1) - -83.58037)"
9,371.93777,"((x0 * 13.396124) + 74.89195)"
13,231.6799,"(((x0 - x1) * 33.78027) + 65.49066)"
17,158.59167,"((((x0 * 1.6737827) + 1.2702007) - x1) * 36.514263)"
21,155.3388,"((((x0 * 1.6780871) + 1.2473135) - x1) * (x3 + 36.92323))"
22,154.0847,"(((tan(x0) + 1.4352914) - x1) * 36.580975)"
25,148.5172,"((((x2 * -0.169011) + ((x0 * 1.6830906) + 1.0619411)) - x1) * 39.955975)"
29,132.45367,"((((x0 * ((x1 * (x0 - 0.7132597)) + 1.3998351)) + 1.3600082) - x1) * 36.594627)"
33,123.7442,"((((x0 * (x1 * (x0 - 0.34091482))) + 1.5655165) - x1) * ((x0 + 1.139694) * 29.321886))"
37,117.100586,"((x2 * -7.3526335) + ((((x0 * ((x1 * (x0 - 0.6547688)) + 1.3910345)) + 1.1258633) - x1) * 40.325207))"
41,111.90537,"((x2 * -8.611014) + ((((x0 * ((x1 * ((x0 * x0) - 0.67967665)) + 1.4555336)) + 1.087853) - x1) * 40.21246))"
43,107.27931,"((x2 * -8.995714) + ((((x0 * ((x1 * (cube(x0) - 0.61171067)) + 1.4108295)) + 1.104028) - x1) * 40.21244))"
45,104.51668,"((x2 * (x2 * 4.82766)) + ((((x0 * ((x1 * ((x0 * x0) - 0.7782603)) + 1.5233421)) + 1.218391) - x1) * 37.082985))"
49,99.810356,"((x2 * (x2 * 4.903287)) + ((((x0 * ((x1 * ((x0 * (x0 * 1.5336945)) - 1.1611114)) + 1.4408739)) + 1.1992608) - x1) * 37.639336))"
52,99.80516,"((x2 * (x2 / 0.20099573)) + ((((x0 * ((x1 * ((x0 * (x0 * 1.5336945)) - 1.1611114)) + 1.4408739)) + 1.1992608) - x1) * 37.639336))"
53,97.26638,"(x3 + ((x2 * (x2 * 4.903287)) + ((((x0 * ((x1 * ((x0 * (x0 * 1.5336945)) - 1.1601791)) + 1.4408739)) + 1.1992608) - x1) * 37.639336)))"
57,95.19132,"(((x2 - x3) * ((x2 - x0) * 4.0097184)) + ((((x0 * ((x1 * ((x0 * (x0 * 1.6120299)) - 1.2301711)) + 1.4533778)) + 1.2301711) - x1) * 37.082985))"
61,91.90527,"(((x2 - x3) * (((x2 - x4) - x0) * 4.0097184)) + ((((x0 * ((x1 * ((x0 * (x0 * 1.6080824)) - 1.2301711)) + 1.4644237)) + 1.2301711) - x1) * 37.082985))"
69,90.84043,"((x2 * ((x2 * 4.919735) + ((x4 + x0) * (x4 + -7.314176)))) + (x3 + ((((x0 * ((x1 * ((x0 * (x0 * 1.6317225)) - 1.235974)) + 1.4544827)) + 1.2461461) - x1) * 36.703987)))"
73,90.13598,"((x2 * ((x2 * 4.919735) + ((x4 + x0) * (x4 + -7.021045)))) + ((1.8946619 * x3) + ((((x0 * ((x1 * ((x0 * (x0 * 1.6452698)) - 1.2534548)) + 1.4579715)) + 1.2461461) - x1) * 36.703987)))"
77,89.152054,"((x2 * ((x2 * 4.919735) + ((x4 + x0) * (x4 + -7.140806)))) + (x3 + ((((x0 * ((x1 * ((x0 * (x0 * ((x1 * 0.28293288) + 1.4410629))) - 1.2461461)) + 1.4533778)) + 1.2461461) - x1) * 36.703987)))"
81,88.49865,"((x2 * ((x2 * 4.8710957) + ((x4 + x0) * (x4 + -7.140806)))) + (x3 + (x3 + ((((x0 * ((x1 * ((x0 * (x0 * ((x1 * 0.28293288) + 1.4410629))) - 1.2461461)) + 1.4533778)) + 1.2461461) - x1) * 36.703987))))"
85,87.84428,"((x2 * ((x2 * 4.919735) + ((x4 + x0) * (x4 + -7.021045)))) + (((x1 + 1.8897729) * x3) + ((((x0 * ((x1 * ((x0 * (x0 * ((x1 * 0.27548596) + 1.4416832))) - 1.2425592)) + 1.4579715)) + 1.2425592) - x1) * 36.703987)))"
89,87.46047,"((x2 * ((x2 * 4.919735) + ((x4 + x0) * (x4 + (x4 - 6.8843455))))) + (((x1 + 1.8946619) * x3) + ((((x0 * ((x1 * ((x0 * (x0 * ((x1 * 0.28390852) + 1.4416832))) - 1.2461461)) + 1.4579715)) + 1.2461461) - x1) * 36.703987)))"
