Complexity,Loss,Equation
1,405.4585,"83.52138"
5,399.28342,"(83.58059 - x1)"
8,399.2834,"(neg(x1) - -83.581024)"
9,371.93777,"((x0 * 13.397301) - -74.89222)"
13,231.67993,"(65.49277 - ((x1 - x0) * 33.77428))"
17,158.59167,"(46.376465 - ((x1 - (x0 * 1.6738247)) * 36.51824))"
21,155.65166,"(x3 - (((x1 - 1.2636341) - (x0 * 1.6742498)) * 36.638443))"
22,154.0847,"(52.506443 - ((x1 - tan(x0)) * 36.581974))"
25,148.5172,"(42.445293 - (((x1 - (x0 * 1.6829371)) - (x2 * -0.1689057)) * 39.94777))"
26,141.44478,"((x2 * -9.48661) - ((x1 - exp(x0)) * 42.659622))"
29,136.77428,"(37.96256 - (((x1 - (x0 * 1.6729939)) + ((x2 * x2) * -0.13707891)) * 43.478714))"
33,133.68785,"(37.75523 - (((x1 - (x0 * 1.6867651)) - (((x4 - x2) * x2) * -0.12595262)) * 43.661926))"
37,131.14821,"((37.86665 - (((x1 - (x0 * 1.6858153)) - (((x4 - x2) * x2) * -0.124935366)) * 43.572315)) + x3)"
41,130.1457,"(((37.606304 - (((x1 - (x0 * 1.6873897)) - (((x4 - x2) * x2) * -0.12432577)) * 43.88998)) + x3) + x3)"
42,117.16056,"(((x1 * (((x1 - 0.9162036) * x0) - x2)) * 17.182447) - ((x1 - exp(x0)) * 42.317524))"
46,110.65651,"((((x1 * ((0.8066402 - x1) * (x0 * -2.8105874))) - x2) * 9.362906) - ((x1 - exp(x0)) * 41.93262))"
49,110.6565,"((((x0 * ((0.8065221 - x1) * (x1 / -0.35596508))) - x2) * 9.365849) - ((x1 - exp(x0)) * 41.931488))"
50,103.01054,"(((((0.8329452 - x1) * (x0 * x1)) * -26.796331) - ((x1 - exp(x0)) * 41.61136)) + ((x2 * x2) * 4.821197))"
54,100.48424,"(((((0.8334589 - x1) * (x0 * x1)) * -26.860659) - ((x1 - exp(x0)) * 41.63525)) + (((x2 * x2) * 4.7861705) + x3))"
58,98.30661,"((((x1 * ((0.81426954 - x1) * (x0 * (-3.3362598 - x1)))) * 12.1392) - ((x1 - exp(x0)) * 41.41345)) + ((x2 * x2) * 4.9293356))"
62,95.95878,"(((((x1 * ((0.81379074 - x1) * (x0 * (-3.400836 - x1)))) * 11.820669) - ((x1 - exp(x0)) * 41.428032)) + x3) + ((x2 * x2) * 4.8757277))"
65,95.958435,"(((((x1 * ((0.81357765 - x1) * (x0 * (-3.400836 - x1)))) * 11.820669) - ((x1 - exp(x0)) * 41.428032)) + x3) + ((x2 * x2) / 0.20471853))"
66,94.01229,"(((((x1 * ((0.8107403 - x1) * (x0 * (-3.400836 - x1)))) * 11.820669) - ((x1 - exp(x0)) * 41.428032)) + x3) + ((x2 * x2) * (x3 + 4.644115)))"
70,93.220856,"(((((x1 * ((0.8134925 - x1) * (x0 * (-3.6062741 - x1)))) * 10.786279) - ((x1 - exp(x0)) * 41.46662)) + (x3 * (1.9171791 + x4))) + ((x2 * x2) * 4.8342185))"
74,92.49696,"(((((x1 * ((0.81179774 - x1) * (x0 * (-3.642728 - x1)))) * 10.786279) - ((x1 - exp(x0)) * 41.46662)) + (x3 * ((1.8804382 + x1) + x4))) + ((x2 * x2) * 4.7861705))"
78,91.99618,"((((((x1 * ((0.81179774 - x1) * (x0 * (-3.642728 - x1)))) * 10.786279) - ((x1 - exp(x0)) * 41.46662)) + (x3 * ((1.8804382 + x1) + x4))) + ((x2 * x2) * 4.500922)) - x2)"
82,91.2093,"((((((x1 * ((0.8074342 - x1) * (x0 * (-3.642728 - x1)))) * 10.786279) - ((x1 - exp(x0)) * 41.46662)) - (x4 * x4)) + ((x3 - x2) * (1.8912976 + x1))) + ((x2 * x2) * 4.0382495))"
86,90.54343,"((((((x1 * ((0.78351617 - x1) * (x0 * (-3.642728 - x1)))) * 10.786279) - ((x1 - exp(x0)) * 41.423542)) - ((x4 * 4.500922) * x4)) + ((x3 - x2) * (1.711637 + x1))) + ((x2 * x2) * 4.500922))"
