Complexity,Loss,Equation
1,300.88525,"82.48649"
5,210.8367,"(x0 * 83.69294)"
9,183.42607,"((x0 * 47.35541) - -36.69672)"
11,165.03848,"cube(x0 + 3.3751926)"
13,142.40976,"((x0 * 83.28373) - (x1 * 8.714669))"
15,112.916176,"((x0 * 82.613846) - cube(x1))"
17,102.43428,"((x0 * 81.762115) - (x1 * (x1 * -2.6536627)))"
21,97.73045,"(((x0 * 101.709564) + -20.509388) + ((x1 * 3.7785726) * x1))"
24,97.73042,"(((x0 * 101.66922) + -20.466187) + ((x1 / 0.26485616) * x1))"
25,93.04877,"(((x0 * 100.85608) + -19.462837) - (x1 * (x3 - (x1 * 3.6492844))))"
27,91.13362,"((x0 * cube(x0 + 3.3440065)) - ((x1 * -2.9107542) * x1))"
30,88.3472,"(exp(x0 + 3.7891552) - (((x1 * -2.617904) * x1) - -38.728394))"
34,87.2093,"(exp(x0 + 3.7877998) - (((x2 - (x1 * 2.5755675)) * x1) - -38.536884))"
35,86.09708,"((x0 * cube(x0 + 3.3487773)) - ((x1 - x0) * (x3 - (x1 * 2.9026442))))"
38,84.35835,"(exp(x0 + 3.8140664) - (((x3 - ((x0 - x1) * -2.6296506)) * x1) - -41.530563))"
39,83.83392,"((x0 * cube(x0 + 3.3333926)) - (x1 * (((x3 - (x1 * x0)) - x1) * 2.7696793)))"
42,83.48041,"(exp(x0 + 3.8146439) - (((x3 - (((x0 + x2) - x1) * -2.5505002)) * x1) - -41.52848))"
43,82.36846,"((x0 * cube(x0 + 3.3360226)) - (x1 * (2.1723418 - ((x3 - (x1 + (x1 * x0))) * -2.3412411))))"
46,82.32227,"(((x0 * cube(x0 + 3.2851496)) - (-0.7518743 / (x2 + 0.14491507))) - (x1 * ((x0 - x1) * 2.629387)))"
47,80.62786,"((x0 * cube(x0 + 3.3392317)) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.6062015 - x1) * -2.5551686))))"
50,79.837906,"(((x0 * cube(x0 + 3.2854173)) - (-0.7655922 / (x2 + 0.1449628))) - (x1 * (x3 - ((x0 - x1) * -2.7062223))))"
54,77.92364,"(((x0 * cube(x0 + 3.274838)) - (-0.7680213 / (x2 + 0.1449628))) - (x1 * (((x3 - (x1 * x0)) - x1) * 2.6486895)))"
58,76.372734,"(((x0 * cube(x0 + 3.274838)) - (-0.7714599 / (x2 + 0.14510825))) - (x1 * ((0.8433665 - (x1 - (x3 - (x1 * x0)))) * 2.2470827)))"
62,74.94996,"(((x0 * cube(x0 + 3.274838)) - (-0.7844088 / (x2 + 0.14510825))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.5665516 - x1) * -2.4594557))))"
66,74.061066,"((((x0 * cube(x0 + 3.274838)) - x3) - (-0.7783678 / (x2 + 0.14510825))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.6005053 - x1) * -2.3964152))))"
70,73.994576,"((((x0 * cube(x0 + 3.274838)) - x2) - (x3 + (-0.7915727 / (x2 + 0.14510825)))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.5945062 - x1) * -2.3843122))))"
74,72.994965,"(((x0 * cube(x0 + 3.3391912)) + (((x0 / (x4 + 0.40087947)) + (x2 * -12.49732)) - x1)) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((x2 - x1) * -2.657138))))"
78,72.3895,"(((x0 * cube(x0 + 3.336222)) + ((((x0 / (x4 + 0.40092596)) + (x2 * -12.724496)) - x1) - x3)) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((x2 - x1) * -2.617773))))"
81,70.08093,"((((x0 * cube(x0 + 3.3443396)) + (x0 / (x4 + 0.39951217))) - (x2 / ((x2 + 0.1450804) * 0.17307295))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.60862124 - x1) * -2.67923))))"
85,69.732635,"(((((x0 * cube(x0 + 3.328933)) - x3) + (x0 / (x4 + 0.39951217))) - (x2 / ((x2 + 0.13872735) * 0.20723936))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.5675872 - x1) * -2.6454537))))"
89,69.18905,"(((((x0 * cube(x0 + 3.328933)) + (x4 - x3)) + (x0 / (x4 + 0.39951217))) - (x2 / ((x2 + 0.14571956) * 0.17005807))) - ((x1 - (x3 - (x1 * x0))) * (x3 - ((0.5444056 - x1) * -2.6454537))))"
